id	string
1000054	a,You people make me sick! No sense of loyalty whatsoever!\0
1000055	a,A challenge against me is the same as a challenge against Beleth...\0
1000056	a,Beleth is always watching over you guys!\0
1000057	a,That was really close! Antharas opened its eyes!\0
1000058	a,You who disobey the will of Antharas! Die!\0
1000059	a,Antharas has taken my life!\0
1000060	a,I crossed back over the marshlands of death to reclaim the treasure!\0
1000061	a,Bring over and surrender your precious gold treasure to me!\0
1000062	a,I'll kill you in an instant!\0
1000063	a,No! The treasure is still..!\0
1000064	a,Invaders of Dragon Valley will never live to return!\0
1000065	a,I am the guardian that honors the command of Antharas to watch over this place!\0
1000066	a,You've set foot in Dragon Valley without permission! The penalty is death!\0
1000067	a,Antharas has taken my life!\0
1000068	a,The joy of killing! The ecstasy of looting! Hey guys, let's have a go at it again!\0
1000069	a,There really are still lots of folks in the world without fear! I'll teach you a lesson!\0
1000070	a,If you hand over everything you've got, I'll at least spare your life!\0
1000071	a,Kneel down before one such as this!\0
1000072	a,Honor the master's wishes and punish all the invaders!\0
1000073	a,Follow the master's wishes and punish the invaders!\0
1000074	a,Death is nothing more than a momentary rest...\0
1000075	a,Listen! This is the end of the human era! Antharas has awoken!\0
1000076	a,Present the lives of four people to Antharas!\0
1000077	a,This is unbelievable! How could I have lost to one so inferior to myself?\0
1000078	a,I carry the power of darkness and have returned from the abyss.\0
1000079	a,It's detestable.\0
1000080	a,I finally find rest...\0
1000081	a,Glory to Orfen!\0
1000082	a,In the name of Orfen, I can never forgive you who are invading this place!\0
1000083	a,I'll make you pay the price for fearlessly entering Orfen's land!\0
1000084	a,Even if you disappear into nothingness, you will still face the life-long suffering of the curse that I have given you.\0
1000085	a,I'll stand against anyone that makes light of the sacred place of the Elves!\0
1000086	a,I will kill with my own hands anyone that defiles our home!\0
1000087	a,My brothers will never rest until we push you and your gang out of this valley!\0
1000088	a,Until the day of destruction of Hestui!\0
1000089	a,If any intrepid Orcs remain, attack them!\0
1000090	a,I'll break your windpipe!\0
1000091	a,Is revenge a failure?!\0
1000092	a,The sparkling mithril of the dwarves and their pretty treasures! I'll get them all!\0
1000093	a,Where are all the dreadful dwarves and their sparkling things?\0
1000094	a,Hand over your pretty treasures!\0
1000095	a,Hey! You should have run away!\0
1000096	a,DESTRUCTION - EXTINCTION - SLAUGHTER - COLLAPSE! DESTRUCTION - EXTINCTION - SLAUGHTER - COLLAPSE!\0
1000097	a,Destruction! Destruction! Destruction! Destruction!\0
1000098	a,Destruction! Destruction! Destruction. . .\0
1000099	a,Ta-da! Uthanka has returned!\0
1000100	a,Wah, ha, ha, ha! Uthanka has taken over this island today!\0
1000101	a,Whew! He's quite a guy!\0
1000102	a,How exasperating and unfair to have things happen in such a meaningless way like this...\0
1000103	a,This world should be filled with fear and sadness...\0
1000104	a,I won't forgive the world that cursed me!\0
1000105	a,I'll make everyone feel the same suffering as me!\0
1000106	a,I'll give you a curse that you'll never be able to remove forever!\0
1000107	a,I'll get revenge on you who slaughtered my compatriots!\0
1000108	a,Those who are afraid should get away and those who are brave should fight!\0
1000109	a,I've got power from Beleth so do you think I'll be easily defeated?!\0
1000110	a,I am leaving now, but soon someone will come who will teach you all a lesson!\0
1000111	a,Hey guys, let's make a round of our territory!\0
1000112	a,The rumor is that there are wild, uncivilized ruffians who have recently arrived in my territory.\0
1000113	a,Do you know who I am?! I am Sirocco! Everyone, attack!\0
1000114	a,What's just happened?! The invincible Sirocco was defeated by someone like you?!\0
1000115	a,Oh, I'm really hungry...\0
1000116	a,I smell food. Ooh...\0
1000117	a,Ooh...\0
1000118	a,What does honey of this place taste like?!\0
1000119	a,Give me some sweet, delicious golden honey!\0
1000120	a,If you give me some honey, I'll at least spare your life...\0
1000121	a,Only for lack of honey did I lose to the likes of you.\0
1000122	a,Where is the traitor Kuroboros!?\0
1000123	a,Look in every nook and cranny around here!\0
1000124	a,Are you Lackey of Kuroboros?! I'll knock you out in one shot!\0
1000125	a,He just closed his eyes without disposing of the traitor... How unfair!\0
1000126	a,Hell for unbelievers in Kuroboros!\0
1000127	a,The person that does not believe in kuroboros, his life will soon become hell!\0
1000128	a,The lackey of that demented devil, the servant of a false god! I'll send that fool straight to hell!\0
1000129	a,Uh... I'm not dying; I'm just disappearing for a moment... I'll resurrect again!\0
1000130	a,Hail to Kuroboros, the founder of our religion!\0
1000131	a,Only those who believe in Patriarch Kuroboros shall receive salvation!\0
1000132	a,Are you the ones that Sharuk has incited?! You also should trust in Kuroboros and be saved!\0
1000133	a,Kuroboros will punish you.\0
1000134	a,You who have beautiful spirits that shine brightly! I have returned!\0
1000135	a,You that are weary and exhausted... Entrust your souls to me.\0
1000136	a,The color of your soul is very attractive.\0
1000137	a,Those of you who live! Do you know how beautiful your souls are?!\0
1000138	a,It... will... kill... everyone...\0
1000139	a,I'm... so... lonely...\0
1000140	a,My... enemy...!\0
1000141	a,... Now... I'm not so lonely!\0
1000142	a,I will never forgive the Pixy Murika... that is trying to... kill us!\0
1000143	a,Attack all the dull and stupid followers of Murika!\0
1000144	a,I didn't have any idea about such ambitions!\0
1000145	a,This is not the end... It's just the beginning.\0
1000146	a,Hey... Shall we have some fun for the first time in a long while?...\0
1000147	a,There've been some things going around like crazy here recently...\0
1000148	a,Hey! Do you know who I am? I am Malex, Herald of Dagoniel! Attack!\0
1000149	a,What's just happened?! The invincible Malex just lost to the likes of you?!\0
1000150	a,It's something repeated in a vain life...\0
1000151	a,Shake in fear, all you who value your lives!\0
1000152	a,I'll make you feel suffering like a flame that is never extinguished!\0
1000153	a,Back to the dirt...\0
1000154	a,Hail Varika!!\0
1000155	a,Nobody can stop us!\0
1000156	a,You move slowly!\0
1000157	a,Varika! Go first!\0
1000158	a,Where am I? Who am I?\0
1000159	a,Uh... My head hurts like it's going to burst! Who am I?\0
1000160	a,You jerk. You're a devil! You're a devil to have made me like this!\0
1000161	a,Where am I? What happened? Thank you!\0
1000162	a,Ukru Master!\0
1000163	a,Are you Matu?\0
1000164	a,Marak! Tubarin! Sabaracha!\0
1000165	a,Pa'agrio Tama!\0
1000166	a,Accept the will of Icarus!\0
1000167	a,The people who are blocking my way will not be forgiven...\0
1000168	a,You are scum.\0
1000169	a,You lack power.\0
1000170	a,Return\0
1000171	a,Adena has been transferred.\0
1000172	a,Event Number\0
1000173	a,First Prize\0
1000174	a,Second Prize\0
1000175	a,Third Prize\0
1000176	a,Fourth Prize\0
1000177	a,There has been no winning lottery ticket.\0
1000178	a,The most recent winning lottery numbers\0
1000179	a,Your lucky numbers have been selected above.\0
1000180	a,I wonder who it is that is lurking about..\0
1000181	a,Sacred magical research is conducted here.\0
1000182	a,Behold the awesome power of magic!\0
1000183	a,Your powers are impressive but you must not annoy our high level sorcerer.\0
1000184	a,I am Barda, master of the Bandit Stronghold!\0
1000185	a,I, Master Barda, once owned that stronghold,\0
1000186	a,Ah, very interesting!\0
1000187	a,You are more powerful than you appear. We'll meet again!\0
1000188	a,You filthy sorcerers disgust me!\0
1000189	a,Why would you build a tower in our territory?\0
1000190	a,Are you part of that evil gang of sorcerers?\0
1000191	a,That is why I don't bother with anyone below the level of sorcerer.\0
1000192	a,Ah, another beautiful day!\0
1000193	a,Our specialties are arson and looting.\0
1000194	a,You will leave empty-handed!\0
1000195	a,Ah, so you admire my treasure, do you? Try finding it! Ha!\0
1000196	a,Is everybody listening? Sirion has come back. Everyone chant and bow...\0
1000197	a,Bow down, you worthless humans!\0
1000198	a,Very tacky!\0
1000199	a,Don't think that you are invincible just because you defeated me!\0
1000200	a,The material desires of mortals are ultimately meaningless.\0
1000201	a,Do not forget the reason the Tower of Insolence collapsed.\0
1000202	a,You humans are all alike, full of greed and avarice!\0
1000203	a,All for nothing,\0
1000204	a,What are all these people doing here?\0
1000205	a,I must find the secret of eternal life, here among these rotten angels!\0
1000206	a,Do you also seek the secret of immortality?\0
1000207	a,I shall never reveal my secrets!\0
1000208	a,Who dares enter this place?\0
1000209	a,This is no place for humans! You must leave immediately.\0
1000210	a,You poor creatures! Too stupid to realize your own ignorance!\0
1000211	a,You mustn't go there!\0
1000212	a,Who dares disturb this marsh?\0
1000213	a,The humans must not be allowed to destroy the marshland for their greedy purposes.\0
1000214	a,You are a brave man...\0
1000215	a,You idiots! Some day you shall also be gone!\0
1000216	a,Someone has entered the forest...\0
1000217	a,The forest is very quiet and peaceful.\0
1000218	a,Stay here in this wonderful forest!\0
1000219	a,My... my souls...\0
1000220	a,This forest is a dangerous place.\0
1000221	a,Unless you leave this forest immediately you are bound to run into serious trouble.\0
1000222	a,Leave now!\0
1000223	a,Why do you ignore my warning?\0
1000224	a,Harits of the world... I bring you peace!\0
1000225	a,Harits! Be courageous!\0
1000226	a,I shall eat your still-beating heart!.\0
1000227	a,Harits! Keep faith until the day I return... Never lose hope!\0
1000228	a,Even the giants are gone! There's nothing left to be afraid of now!\0
1000229	a,Have you heard of the giants? Their downfall was inevitable!\0
1000230	a,What nerve! Do you dare to challenge me?\0
1000231	a,You are as evil as the giants...\0
1000232	a,This dungeon is still in good condition!\0
1000233	a,This place is spectacular, wouldn't you say?\0
1000234	a,You are very brave warriors!\0
1000235	a,Are the giants truly gone for good?\0
1000236	a,These graves are good.\0
1000237	a,Gold and silver are meaningless to a dead man!\0
1000238	a,Why would those corrupt aristocrats bury such useful things?\0
1000239	a,You filthy pig! Eat and be merry now that you have shirked your responsibilities!\0
1000240	a,Those thugs! It would be too merciful to rip them apart and chew them up one at a time!\0
1000241	a,You accursed scoundrels!\0
1000242	a,Hmm, could this be the assassin sent by those idiots from Aden?\0
1000243	a,I shall curse your name with my last breath!\0
1000244	a,My beloved Lord Shilen.\0
1000245	a,I must break the seal and release Lord Shilen as soon as possible...\0
1000246	a,You shall taste the vengeance of Lord Shilen!\0
1000247	a,Lord Shilen... some day... you will accomplish... this mission...\0
1000248	a,Towards immortality...\0
1000249	a,He who desires immortality... Come unto me.\0
1000250	a,You shall be sacrificed to gain my immortality!\0
1000251	a,Eternal life in front of my eyes... I have collapsed in such a worthless way like this...\0
1000252	a,Zaken, you are a cowardly cur!\0
1000253	a,You are immortal, aren't you, Zaken?\0
1000254	a,Please return my body to me.\0
1000255	a,Finally... will I be able to rest?\0
1000256	a,What is all that racket?\0
1000257	a,Master Gildor does not like to be disturbed.\0
1000258	a,Please, just hold it down...\0
1000259	a,If you disturb Master Gildor I won't be able to help you.\0
1000260	a,Who dares approach?\0
1000261	a,These reeds are my territory...\0
1000262	a,You fools! Today you shall learn a lesson!\0
1000263	a,The past goes by... Is a new era beginning?...\0
1000264	a,This is the garden of Eva.\0
1000265	a,The garden of Eva is a sacred place.\0
1000266	a,Do you mean to insult Eva?\0
1000267	a,How rude!  Eva's love is available to all, even to an ill-mannered lout like yourself!\0
1000268	a,This place once belonged to Lord Shilen.\0
1000269	a,Leave this palace to us, spirits of Eva.\0
1000270	a,Why are you getting in our way?\0
1000271	a,Shilen... our Shilen!\0
1000272	a,All who fear of Fafurion... Leave this place at once!\0
1000273	a,You are being punished in the name of Fafurion!\0
1000274	a,Oh, master... please forgive your humble servant...\0
1000275	a,Prepare to die, foreign invaders! I am Gustav, the eternal ruler of this fortress and I have taken up my sword to repel thee!\0
1000276	a,Glory to Aden, the Kingdom of the Lion! Glory to Sir Gustav, our immortal lord!\0
1000277	a,Soldiers of Gustav, go forth and destroy the invaders!\0
1000278	a,This is unbelievable! Have I really been defeated? I shall return and take your head!\0
1000279	a,Could it be that I have reached my end? I cannot die without honor, without the permission of Sir Gustav!\0
1000280	a,Ah, the bitter taste of defeat... I fear my torments are not over...\0
1000281	a,I follow the will of Fafurion.\0
1000282	a,Tickets for the Lucky Lottery are now on sale!\0
1000283	a,The Lucky Lottery drawing is about to begin!\0
1000284	a,The winning numbers for Lucky Lottery $s1 are $s2. Congratulations to the winners!\0
1000285	a,You're too young to play Lucky Lottery!\0
1000286	a,$s1! Watch your back!!!\0
1000287	a,$s1! Come on, I'll take you on!\0
1000288	a,$s1! How dare you interrupt our fight! Hey guys, help!\0
1000289	a,I'll help you! I'm no coward!\0
1000290	a,Dear ultimate power!!!\0
1000291	a,Everybody! Attack $s1!\0
1000292	a,I will follow your order.\0
1000293	a,Bet you didn't expect this!\0
1000294	a,Come out, you children of darkness!\0
1000295	a,Summon party members!\0
1000296	a,Master! Did you call me?\0
1000297	a,You idiot!\0
1000298	a,What about this?\0
1000299	a,Very impressive $s1! This is the last!\0
1000300	a,Dawn\0
1000301	a,Dusk\0
1000302	a,Nothingness\0
1000303	a,This world will soon be annihilated!\0
1000304	a,A curse upon you!\0
1000305	a,The day of judgment is near!\0
1000306	a,I bestow upon you a blessing!\0
1000307	a,The first rule of fighting is to start by killing the weak ones!\0
1000308	a,Adena\0
1000309	a,Ancient Adena\0
1000310	a,Dusk\0
1000311	a,Dawn\0
1000312	a,Level 31 or lower\0
1000313	a,Level 42 or lower\0
1000314	a,Level 53 or lower\0
1000315	a,Level 64 or lower\0
1000316	a,No Level Limit\0
1000317	a,The main event will start in 2 minutes. Please register now.\0
1000318	a,The main event is now starting.\0
1000319	a,The main event will close in 5 minutes.\0
1000320	a,The main event will finish in 2 minutes. Please prepare for the next game.\0
1000321	a,The amount of SSQ contribution has increased by $s1.\0
1000322	a,No record exists\0
1000324	a,<a action="bypass -h menu_select?ask=-2&reply=324">Gladiator</a><br>\0
1000325	a,<a action="bypass -h menu_select?ask=-2&reply=325">Warlord</a><br>\0
1000327	a,<a action="bypass -h menu_select?ask=-2&reply=327">Paladin</a><br>\0
1000328	a,<a action="bypass -h menu_select?ask=-2&reply=328">Dark Avenger</a><br>\0
1000330	a,<a action="bypass -h menu_select?ask=-2&reply=330">Treasure Hunter</a><br>\0
1000331	a,<a action="bypass -h menu_select?ask=-2&reply=331">Hawkeye</a><br>\0
1000334	a,<a action="bypass -h menu_select?ask=-2&reply=334">Sorcerer</a><br>\0
1000335	a,<a action="bypass -h menu_select?ask=-2&reply=335">Necromancer</a><br>\0
1000336	a,<a action="bypass -h menu_select?ask=-2&reply=336">Warlock</a><br>\0
1000338	a,<a action="bypass -h menu_select?ask=-2&reply=338">Bishop</a><br>\0
1000339	a,<a action="bypass -h menu_select?ask=-2&reply=339">Prophet</a><br>\0
1000342	a,<a action="bypass -h menu_select?ask=-2&reply=342">Temple Knight</a><br>\0
1000343	a,<a action="bypass -h menu_select?ask=-2&reply=343">Swordsinger</a><br>\0
1000345	a,<a action="bypass -h menu_select?ask=-2&reply=345">Plainswalker</a><br>\0
1000346	a,<a action="bypass -h menu_select?ask=-2&reply=346">Silver Ranger</a><br>\0
1000349	a,<a action="bypass -h menu_select?ask=-2&reply=349">Spellsinger</a><br>\0
1000350	a,<a action="bypass -h menu_select?ask=-2&reply=350">Elemental Summoner</a><br>\0
1000352	a,<a action="bypass -h menu_select?ask=-2&reply=352">Elven Elder</a><br>\0
1000355	a,<a action="bypass -h menu_select?ask=-2&reply=355">Shillien Knight</a><br>\0
1000356	a,<a action="bypass -h menu_select?ask=-2&reply=356">Bladedancer</a><br>\0
1000358	a,<a action="bypass -h menu_select?ask=-2&reply=358">Abyssal Walker</a><br>\0
1000359	a,<a action="bypass -h menu_select?ask=-2&reply=359">Phantom Ranger</a><br>\0
1000362	a,<a action="bypass -h menu_select?ask=-2&reply=362">Spellhowler</a><br>\0
1000363	a,<a action="bypass -h menu_select?ask=-2&reply=363">Phantom Summoner</a><br>\0
1000365	a,<a action="bypass -h menu_select?ask=-2&reply=365">Shillien Elder</a><br>\0
1000368	a,<a action="bypass -h menu_select?ask=-2&reply=368">Destroyer</a><br>\0
1000370	a,<a action="bypass -h menu_select?ask=-2&reply=370">Tyrant</a><br>\0
1000373	a,<a action="bypass -h menu_select?ask=-2&reply=373">Overlord</a><br>\0
1000374	a,<a action="bypass -h menu_select?ask=-2&reply=374">Warcryer</a><br>\0
1000377	a,<a action="bypass -h menu_select?ask=-2&reply=377">Bounty Hunter</a><br>\0
1000379	a,<a action="bypass -h menu_select?ask=-2&reply=379">Warsmith</a><br>\0
1000380	a,That will do! I'll move you to the outside soon.\0
1000381	a,$s1! Watch your back!\0
1000382	a,Your rear is practically unguarded!\0
1000383	a,How dare you turn your back on me!\0
1000384	a,$s1! I'll deal with you myself!\0
1000385	a,$s1! This is personal!\0
1000386	a,$s1! Leave us alone! This is between us!\0
1000387	a,$s1! Killing you will be a pleasure!\0
1000388	a,$s1! Hey! We're having a duel here!\0
1000389	a,The duel is over! Attack!\0
1000390	a,Foul! Kill the coward!\0
1000391	a,How dare you interrupt a sacred duel! You must be taught a lesson!\0
1000392	a,Die, you coward!\0
1000393	a,What are you looking at?\0
1000394	a,Kill the coward!\0
1000395	a,I never thought I'd use this against a novice!\0
1000396	a,You won't take me down easily.\0
1000397	a,The battle has just begun!\0
1000398	a,Kill $s1 first!\0
1000399	a,Attack $s1!\0
1000400	a,Attack! Attack!\0
1000401	a,Over here!\0
1000402	a,Roger!\0
1000403	a,Show yourselves!\0
1000404	a,Forces of darkness! Follow me!\0
1000405	a,Destroy the enemy, my brothers!\0
1000406	a,Now the fun starts!\0
1000407	a,Enough fooling around. Get ready to die!\0
1000408	a,You idiot! I've just been toying with you!\0
1000409	a,Witness my true power!\0
1000410	a,Now the battle begins!\0
1000411	a,I must admit, no one makes my blood boil quite like you do!\0
1000412	a,You have more skill than I thought!\0
1000413	a,I'll double my strength!\0
1000414	a,Prepare to die!\0
1000415	a,All is lost! Prepare to meet the goddess of death!\0
1000416	a,All is lost! The prophecy of destruction has been fulfilled!\0
1000417	a,The end of time has come! The prophecy of destruction has been fulfilled!\0
1000418	a,$s1! You bring an ill wind!\0
1000419	a,$s1! You might as well give up!\0
1000420	a,You don't have any hope! Your end has come!\0
1000421	a,The prophecy of darkness has been fulfilled!\0
1000422	a,As foretold in the prophecy of darkness, the era of chaos has begun!\0
1000423	a,The prophecy of darkness has come to pass!\0
1000424	a,$s1! I give you the blessing of prophecy!\0
1000425	a,$s1! I bestow upon you the authority of the abyss!\0
1000426	a,Herald of the new era, open your eyes!\0
1000427	a,Remember, kill the weaklings first!\0
1000428	a,Prepare to die, maggot!\0
1000429	a,That will do. Prepare to be released!\0
1000430	a,Draw\0
1000431	a,Rulers of the seal! I bring you wondrous gifts!\0
1000432	a,Rulers of the seal! I have some excellent weapons to show you!\0
1000433	a,I've been so busy lately, in addition to planning my trip!\0
1000434	a,Your treatment of weaklings is unforgivable!\0
1000435	a,I'm here to help you! Hi yah!\0
1000436	a,Justice will be served!\0
1000437	a,On to immortal glory!\0
1000438	a,Justice always avenges the powerless!\0
1000439	a,Are you hurt? Hang in there, we've almost got them!\0
1000440	a,Why should I tell you my name, you creep!?\0
1000441	a,0 minute\0
1000442	a,$s1 Minute(s)\0
1000443	a,The defenders of $s1 castle will be teleported to the inner castle.\0
1000444	a,Sunday\0
1000445	a,Monday\0
1000446	a,Tuesday\0
1000447	a,Wednesday\0
1000448	a,Thursday\0
1000449	a,Friday\0
1000450	a,Saturday\0
1000451	a,Hour\0
1000452	a,It's a good day to die! Welcome to hell, maggot!\0
1000453	a,The Festival of Darkness will end in two minutes.\0
1000454	a,Noblesse Gate Pass\0
1000455	a, \0
1000456	a,minute(s) have passed.\0
1000457	a,Game over. The teleport will appear momentarily.\0
1000458	a,You, who are like the slugs crawling on the ground. The generosity and greatness of me, Daimon the White-Eyed is endless! Ha Ha Ha!\0
1000459	a,If you want to be the opponent of me, Daimon the White-Eyed, you should at least have the basic skills~!\0
1000460	a,You stupid creatures that are bound to the earth. You are suffering too much while dragging your fat, heavy bodies.  I, Daimon, will lighten your burden.\0
1000461	a,A weak and stupid tribe like yours doesn't deserve to be my enemy! Bwa ha ha ha!\0
1000462	a,You dare to invade the territory of Daimon, the White-Eyed!  Now, you will pay the price for your action!\0
1000463	a,This is the grace of Daimon the White-Eyed, the great Monster Eye Lord! Ha Ha Ha!\0
1000464	a,$s1!  You have become a Hero of Duelists.  Congratulations!\0
1000465	a,$s1! You have become a Hero of Dreadnoughts. Congratulations!\0
1000466	a,$s1!  You have become a Hero of Phoenix Knights.  Congratulations!\0
1000467	a,$s1!  You have become a Hero of Hell Knights.  Congratulations!\0
1000468	a,$s1  You have become a Sagittarius Hero.  Congratulations!\0
1000469	a,$s1!  You have become a Hero of Adventurers.  Congratulations!\0
1000470	a,$s1!  You have become a Hero of Archmages.  Congratulations!\0
1000471	a,$s1!  You have become a Hero of Soultakers.  Congratulations!\0
1000472	a,$s1!  You have become a Hero of Arcana Lords.  Congratulations!\0
1000473	a,$s1!  You have become a Hero of Cardinals.  Congratulations!\0
1000474	a,$s1!  You have become a Hero of Hierophants.  Congratulations!\0
1000475	a,$s1!  You have become a Hero of Eva's Templars.  Congratulations!\0
1000476	a,$s1!  You have become a Hero of Sword Muses.  Congratulations!\0
1000477	a,$s1!  You have become a Hero of Wind Riders.  Congratulations!\0
1000478	a,$s1! You have become a Hero of Moonlight Sentinels. Congratulations!\0
1000479	a,$s1!  You have become a Hero of Mystic Muses.  Congratulations!\0
1000480	a,$s1! You have become a Hero of Elemental Masters. Congratulations!\0
1000481	a,$s1!  You have become a Hero of Eva's Saints.  Congratulations!\0
1000482	a,$s1!  You have become a Hero of the Shillien Templars.  Congratulations!\0
1000483	a,$s1!  You have become a Hero of Spectral Dancers.  Congratulations!\0
1000484	a,$s1!  You have become a Hero of Ghost Hunters.  Congratulations!\0
1000485	a,$s1! You have become a Hero of Ghost Sentinels. Congratulations!\0
1000486	a,$s1!  You have become a Hero of Storm Screamers.  Congratulations!\0
1000487	a,$s1! You have become a Hero of Spectral Masters. Congratulations!\0
1000488	a,$s1!  You have become a Hero of the Shillien Saints.  Congratulations!\0
1000489	a,$s1!  You have become a Hero of Titans.  Congratulations!\0
1000490	a,$s1!  You have become a Hero of Grand Khavataris.  Congratulations!\0
1000491	a,$s1!  You have become a Hero of Dominators.  Congratulations!\0
1000492	a,$s1!  You have become a Hero of Doomcryers.  Congratulations!\0
1000493	a,$s1!  You have become a Hero of Fortune Seekers.  Congratulations!\0
1000494	a,$s1!  You have become a Hero of Maestros.  Congratulations!\0
1000495	a,**unregistered**\0
1000496	a,$s1! You have become a Hero of Doombringers. Congratulations!\0
1000497	a,$s1! You have become a Hero of Soul Hounds. Congratulations!\0
1000498	a,$s1! You have become a Hero of Soul Hounds. Congratulations!\0
1000499	a,$s1! You have become a Hero of Tricksters. Congratulations!\0
1000500	a,You may now enter the Sepulcher.\0
1000501	a,If you place your hand on the stone statue in front of each sepulcher, you will be able to enter.\0
1000502	a,The monsters have spawned!\0
1000503	a,Thank you for saving me.\0
1000504	a,Fewer than $s1\0
1000505	a,More than $s1\0
1000506	a,Point\0
1000507	a,Competition\0
1000508	a,Seal Validation\0
1000509	a,Preparation\0
1000510	a,Dusk\0
1000511	a,Dawn\0
1000512	a,No Owner\0
1000513	a,This place is dangerous, $s1. Please turn back.\0
1000514	a,Who disturbs my sacred sleep?\0
1000515	a,Begone, thief! Let our bones rest in peace.\0
1000516	a, Leave us be, Hestui scum!\0
1000517	a,Thieving Kakai, may bloodbugs gnaw you in your sleep!\0
1000518	a,Newbie Travel Token\0
1000519	a,Arrogant fool! You dare to challenge me, the Ruler of Flames? Here is your reward!\0
1000520	a,$s1!!!! You cannot hope to defeat me with your meager strength.\0
1000521	a,Not even the gods themselves could touch me. But you, $s1, you dare challenge me?! Ignorant mortal!\0
1000522	a,Requiem of Hatred\0
1000523	a,Fugue of Jubilation\0
1000524	a,Frenetic Toccata\0
1000525	a,Hypnotic Mazurka\0
1000526	a,Mournful Chorale Prelude\0
1000527	a,Rondo of Solitude\0
1000528	a,Olympiad Token\0
1001000	a,The Kingdom of Aden\0
1001001	a,Gludio\0
1001002	a,Dion\0
1001003	a,Giran\0
1001004	a,Oren\0
1001005	a,Aden\0
1001006	a,Innadril\0
1001100	a,The Kingdom of Elmore\0
1001007	a,Goddard\0
1001008	a,Rune\0
1001009	a,Schuttgart\0
1010001	a,Talking Island Village\0
1010002	a,The Elven Village\0
1010003	a,The Dark Elf Village\0
1010004	a,The Village of Gludin\0
1010005	a,The Town of Gludio\0
1010006	a,The Town of Dion\0
1010007	a,The Town of Giran\0
1010008	a,Orc Village\0
1010009	a,Dwarven Village\0
1010010	a,The Southern Part of the Dark Forest\0
1010011	a,The Northeast Coast\0
1010012	a,The Southern Entrance to the Wastelandss\0
1010013	a,Town of Oren\0
1010014	a,Ivory Tower\0
1010015	a,1st Floor Lobby\0
1010016	a,Underground Shopping Area\0
1010017	a,2nd Floor Human Wizard Guild\0
1010018	a,3rd Floor Elven Wizard Guild\0
1010019	a,4th Floor Dark Wizard Guild\0
1010020	a,Hunters Village\0
1010021	a,Giran Harbor\0
1010022	a,Hardin's Private Academy\0
1010023	a,Town of Aden\0
1010024	a,Village Square\0
1010025	a,North Gate Entrance\0
1010026	a,East Gate Entrance\0
1010027	a,West Gate Entrance\0
1010028	a,South Gate Entrance\0
1010029	a,Entrance to Turek Orc Camp\0
1010030	a,Entrance to Forgotten Temple\0
